DT_MAJ_GDUNO,CD_ORGNS,NOM_COURT,NOM_OFFCL,ADRS_GEO_L1_GDUNO,ADRS_GEO_L2_GDUNO,CD_MUNCP,NOM_MUNCP,STAT_MUNCP,CD_POSTL_GDUNO,PRESC,PRIM,SEC,FORM_PRO,ADULTE,TYPE_ORGNS,RESEAU,SITE_WEB,CD_ORGNS_RESP,NOM_ORGNS_RESP,COORD_X_LL84,COORD_Y_LL84,ORDRE_ENS,TYPE_CS,NO_TEL
,689007,École Harrington,École Harrington,"4, allée Mary-Morency",Harrington Harbour,98015,Côte-Nord-du-Golfe-du-Saint-Laurent,M,G0G1N0,1,1,1,0,0,École,Public,https://cssdulittoral.gouv.qc.ca/ecole/ecole-harrington/,689000,Centre de services scolaire du Littoral,-59.480028,50.500143,Préscolaire - Primaire - Secondaire,Statut,418 795-3391
,689008,École Mecatina,École Mecatina,"2, rue du Cove Sud",La Tabatière,98014,Gros-Mécatina,M,G0G1T0,1,1,1,0,0,École,Public,https://cssdulittoral.gouv.qc.ca/ecole/ecole-mecatina/,689000,Centre de services scolaire du Littoral,-58.958308,50.829549,Préscolaire - Primaire - Secondaire,Statut,418 773-2500
,689009,École Kegaska,École Kegaska,"102, rue Jacques-Cartier",Kegaska,98015,Côte-Nord-du-Golfe-du-Saint-Laurent,M,G0G1S0,1,1,1,0,0,École,Public,https://cssdulittoral.gouv.qc.ca/ecole/ecole-kegaska/,689000,Centre de services scolaire du Littoral,-61.272308,50.18925,Préscolaire - Primaire - Secondaire,Statut,418 726-3283
,689010,École Mountain Ridge,École Mountain Ridge,"503, boulevard Bonne-Espérance",Vieux-Fort,98010,Bonne-Espérance,M,G0G2G0,1,1,0,0,0,École,Public,https://cssdulittoral.gouv.qc.ca/ecole/ecole-mountain-ridge/,689000,Centre de services scolaire du Littoral,-57.817515,51.425916,Préscolaire - Primaire,Statut,418 379-2297
,689012,École Saint-Augustine,École Saint-Augustine,"107, rue de la Brunante",,98012,Saint-Augustin,M,G0G2R0,1,1,1,0,0,École,Public,https://cssdulittoral.gouv.qc.ca/ecole/ecole-st-augustine/,689000,Centre de services scolaire du Littoral,-58.647792,51.226592,Préscolaire - Primaire - Secondaire,Statut,418 947-2312
,689014,École Saint-Paul,École Saint-Paul,"2, Baylis West",Rivière Saint-Paul,98010,Bonne-Espérance,M,G0G2P0,0,0,1,0,0,École,Public,https://cssdulittoral.gouv.qc.ca/ecole/ecole-st-paul/,689000,Centre de services scolaire du Littoral,-57.70766,51.476938,Secondaire,Statut,418 379-2107
,689016,École Monseigneur-Scheffer,École Monseigneur-Scheffer,"20, rue Mgr-Scheffer",Lourdes-de-Blanc-Sablon,98005,Blanc-Sablon,M,G0G1W0,1,1,1,0,0,École,Public,https://cssdulittoral.gouv.qc.ca/ecole/ecole-mgr-scheffer/,689000,Centre de services scolaire du Littoral,-57.187178,51.414454,Préscolaire - Primaire - Secondaire,Statut,418 461-2030
,689017,École Saint-Joseph,École Saint-Joseph,"2, rue Savoy",Port-Menier,98020,L'Île-d'Anticosti,M,G0G2Y0,1,1,1,0,0,École,Public,https://cssdulittoral.gouv.qc.ca/ecole/ecole-st-joseph/,689000,Centre de services scolaire du Littoral,-64.350197,49.817583,Préscolaire - Primaire - Secondaire,Statut,418 535-0137
,689018,École Gabriel-Dionne,École Gabriel-Dionne,"261, avenue de l'Église",Tête-à-la-Baleine,98015,Côte-Nord-du-Golfe-du-Saint-Laurent,M,G0G2W0,1,1,1,0,0,École,Public,https://cssdulittoral.gouv.qc.ca/ecole/ecole-gabriel-dionne/,689000,Centre de services scolaire du Littoral,-59.323685,50.70155,Préscolaire - Primaire - Secondaire,Statut,418 242-2050
,689019,École Netagamiou,École Netagamiou,"61, chemin Netagamiou",Chevery,98015,Côte-Nord-du-Golfe-du-Saint-Laurent,M,G0G1G0,1,1,1,0,0,École,Public,https://cssdulittoral.gouv.qc.ca/ecole/ecole-netagamiou/,689000,Centre de services scolaire du Littoral,-59.618839,50.467455,Préscolaire - Primaire - Secondaire,Statut,418 787-2201
